schema_name,table_name,total_bytes,total_size,approx_rows
storage,objects,1056768,1032 kB,646
auth,users,163840,160 kB,0
public,property_components,155648,152 kB,222
auth,refresh_tokens,131072,128 kB,0
auth,one_time_tokens,114688,112 kB,0
public,inspections,106496,104 kB,117
public,reports,90112,88 kB,0
auth,sessions,81920,80 kB,0
auth,identities,81920,80 kB,0
public,water_readings,65536,64 kB,147
auth,mfa_factors,57344,56 kB,0
storage,prefixes,49152,48 kB,0
auth,audit_log_entries,49152,48 kB,0
auth,mfa_amr_claims,49152,48 kB,0
storage,buckets,49152,48 kB,0
auth,flow_state,40960,40 kB,0
auth,saml_relay_states,40960,40 kB,0
storage,migrations,40960,40 kB,0
auth,sso_domains,32768,32 kB,0
auth,saml_providers,32768,32 kB,0
auth,sso_providers,32768,32 kB,0
public,ai_settings,32768,32 kB,0
public,maintenance_tasks,32768,32 kB,0
realtime,subscription,32768,32 kB,0
public,reservoir_readings,32768,32 kB,0
vault,secrets,24576,24 kB,0
auth,schema_migrations,24576,24 kB,62
storage,s3_multipart_uploads,24576,24 kB,0
realtime,schema_migrations,24576,24 kB,63
auth,mfa_challenges,24576,24 kB,0
public,maintenance_photos,16384,16 kB,0
auth,instances,16384,16 kB,0
public,whatsapp_config,16384,16 kB,0
public,ai_conversations,16384,16 kB,0
public,pdf_chunks,16384,16 kB,0
storage,buckets_analytics,16384,16 kB,0
public,profiles,16384,16 kB,0
storage,s3_multipart_uploads_parts,16384,16 kB,0
public,ai_messages,16384,16 kB,0
public,whatsapp_messages,16384,16 kB,0
public,contacts,16384,16 kB,0
public,location_tracks,8192,8192 bytes,0
